Event_date,Site,Latitude,Longitude,Measurement_type,Measurement
2020-07-06T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-12-04T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-08-07T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-01-16T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2021-04-04T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2021-12-25T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2020-07-16T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-05-03T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-10-20T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-09-29T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-11-05T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2019-12-14T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2020-08-21T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-09-06T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2021-09-09T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2021-02-23T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-01-09T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2019-12-16T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2020-12-06T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-04-12T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-08-20T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2021-03-15T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-04-24T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,4
2021-12-10T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,4
2021-09-04T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-12-21T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-10-04T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-10-19T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-08-21T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2020-10-16T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
