"","SampleID","Site","Type","Bottle_number","Analyte","dilution","Peak_Concentration","Concentration_Units","Rep","Event_Date","Date","time","Stage","Notes","Lab","missing","Sample_ID_NOTES","cations_now"
"3929","1121","CC","ISCO","4.0","TOC",1,12.13,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 17:05:00,"flood",NA,"GEL",NA,NA,NA
"3930","1122","RC","ISCO","7.0","TOC",1,10.71,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 16:36:00,"flood",NA,"GEL",NA,NA,NA
"3931","1123","RC","ISCO","7.0","TOC",1,11.32,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 16:36:00,"flood",NA,"GEL",NA,NA,NA
"3932","1124","RC","ISCO","4.0","TOC",1,14.03,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 15:51:00,"flood",NA,"GEL",NA,NA,NA
"3933","1125","RC","ISCO","4.0","TOC",1,14.64,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 15:51:00,"flood",NA,"GEL",NA,NA,NA
"3934","1126","RC","ISCO","17.0","TOC",1,12.91,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 22:21:00,"flood",NA,"GEL",NA,NA,NA
"3935","1127","RC","ISCO","17.0","TOC",1,13.01,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 22:21:00,"flood",NA,"GEL",NA,NA,NA
"3936","1128","RC","ISCO","3.0","TOC",1,14.69,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 15:36:00,"flood",NA,"GEL",NA,NA,NA
"3937","1129","RC","ISCO","3.0","TOC",1,14.71,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 15:36:00,"flood",NA,"GEL",NA,NA,NA
"3938","1130","RC","ISCO","11.0","TOC",1,12.83,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 17:36:00,"flood",NA,"GEL",NA,NA,NA
"3939","1131","RC","ISCO","11.0","TOC",1,10.46,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 17:36:00,"flood",NA,"GEL",NA,NA,NA
"3940","1132","RC","ISCO","10.0","TOC",1,10.68,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 17:21:00,"flood",NA,"GEL",NA,NA,NA
"3941","1133","RC","ISCO","10.0","TOC",1,14.85,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 17:21:00,"flood",NA,"GEL",NA,NA,NA
"3942","1134","RC","ISCO","5.0","TOC",1,13.07,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 16:06:00,"flood",NA,"GEL",NA,NA,NA
"3943","1135","RC","ISCO","2.0","TOC",1,14.74,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 15:21:00,"flood",NA,"GEL",NA,NA,NA
"3944","1136","RC","ISCO","15.0","TOC",1,13.63,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 20:21:00,"flood",NA,"GEL",NA,NA,NA
"3945","1137","RC","ISCO","15.0","TOC",1,16.66,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 20:21:00,"flood",NA,"GEL",NA,NA,NA
