"SampleID","DateTime","Site","Type","Bottle_number","Event_Date","Stage","DOC_mgL","SRP_ugL","TC_mgL","TDP_mgL","TN_mgL","ions_uM","TOC_mgL","N_DOC_mgL","N_NH4_mgNL","N_SRP_ugL","N_TC_mgL","N_TDP_mgL","N_TN_mgL","N_ions_uM","N_Chloride_mgL","N_NO3_mgNL","N_TOC_mgL","NH4N_color_mgL","Cl_color_mgL","NO3N_color_mgL"
"1025",2021-07-25 16:58:00,"MW","ISCO","8.0",2021-07-25,"flood",8.98,NA,NA,NA,1.116,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1026",2021-07-26 04:13:00,"MW","ISCO","23.0",2021-07-25,"flood",10.29,NA,NA,NA,4.401,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1027",2021-07-26 03:13:00,"MW","ISCO","22.0",2021-07-25,"flood",13.38,NA,NA,NA,4.389,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1028",2021-07-25 21:13:00,"MW","ISCO","16.0",2021-07-25,"flood",9.744,NA,NA,NA,2.207,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1029",2021-07-25 16:28:00,"MW","ISCO","6.0",2021-07-25,"flood",8.12,NA,NA,NA,0.6923,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"103",2020-08-27 10:30:00,"SS","GRAB",NA,NA,"baseflow",2.455,48.3,NA,NA,0.004,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.0163,9.56,0.0215
"103",2021-08-18 18:43:00,"SS","ISCO","17.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1030",2021-07-25 16:28:00,"MW","ISCO","6.0",2021-07-25,"flood",9.098,NA,NA,NA,0.7667,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1031",2021-08-12 11:25:00,"CC","ISCO","11.0",2021-08-12,"flood",7.581,NA,NA,NA,2.479,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1032",2021-08-12 11:25:00,"CC","ISCO","11.0",2021-08-12,"flood",7.545,NA,NA,NA,3.105,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1033",2021-08-12 11:10:00,"CC","ISCO","17.0",2021-08-12,"flood",20.55,NA,NA,NA,2.424,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1034",2021-08-12 11:10:00,"CC","ISCO","10.0",2021-08-12,"flood",8.053,NA,NA,NA,2.256,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1035",2021-08-12 11:10:00,"CC","ISCO","10.0",2021-08-12,"flood",7.344,NA,NA,NA,2.032,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1036",2021-08-12 18:56:00,"CC","ISCO","20.0",2021-08-12,"flood",8.325,NA,NA,NA,2.331,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1037",2021-08-12 18:56:00,"CC","ISCO","20.0",2021-08-12,"flood",9.134,NA,NA,NA,2.55,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1038",2021-08-12 11:56:00,"CC","ISCO","13.0",2021-08-12,"flood",7.105,NA,NA,NA,1.898,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1039",2021-08-12 11:56:00,"CC","ISCO","13.0",2021-08-12,"flood",7.341,NA,NA,NA,2.887,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"104",2020-08-27 10:30:00,"SS","GRAB",NA,NA,"baseflow",2.486,48.4,NA,NA,0.004,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.003,9.16,0.0658
