"","SampleID","DateTime","Site","Analyte","Type","Bottle_number","Event_Date","Stage","N","final_conc"
"57","1023",2021-07-25 16:58:00,"MW","DOC_mgL","ISCO","8.0",2021-07-25,"flood",1,8.004
"58","1023",2021-07-25 16:58:00,"MW","TN_mgL","ISCO","8.0",2021-07-25,"flood",1,1.135
"59","1024",2021-07-25 16:13:00,"MW","DOC_mgL","ISCO","5.0",2021-07-25,"flood",1,8.007
"60","1024",2021-07-25 16:13:00,"MW","TN_mgL","ISCO","5.0",2021-07-25,"flood",1,0.6638
"61","1025",2021-07-25 16:58:00,"MW","DOC_mgL","ISCO","8.0",2021-07-25,"flood",1,8.98
"62","1025",2021-07-25 16:58:00,"MW","TN_mgL","ISCO","8.0",2021-07-25,"flood",1,1.116
"63","1026",2021-07-26 04:13:00,"MW","DOC_mgL","ISCO","23.0",2021-07-25,"flood",1,10.29
"64","1026",2021-07-26 04:13:00,"MW","TN_mgL","ISCO","23.0",2021-07-25,"flood",1,4.401
"65","1027",2021-07-26 03:13:00,"MW","DOC_mgL","ISCO","22.0",2021-07-25,"flood",1,13.38
"66","1027",2021-07-26 03:13:00,"MW","TN_mgL","ISCO","22.0",2021-07-25,"flood",1,4.389
"67","1028",2021-07-25 21:13:00,"MW","DOC_mgL","ISCO","16.0",2021-07-25,"flood",1,9.744
"68","1028",2021-07-25 21:13:00,"MW","TN_mgL","ISCO","16.0",2021-07-25,"flood",1,2.207
"69","1029",2021-07-25 16:28:00,"MW","DOC_mgL","ISCO","6.0",2021-07-25,"flood",1,8.12
"70","1029",2021-07-25 16:28:00,"MW","TN_mgL","ISCO","6.0",2021-07-25,"flood",1,0.6923
"71","103",2020-08-27 10:30:00,"SS","DOC_mgL","GRAB",NA,NA,"baseflow",1,2.455
"72","103",2020-08-27 10:30:00,"SS","SRP_ugL","GRAB",NA,NA,"baseflow",1,48.3
"73","103",2020-08-27 10:30:00,"SS","TN_mgL","GRAB",NA,NA,"baseflow",1,0.004
"74","103",2021-08-18 18:43:00,"SS","TC_mgL","ISCO","17.0",2021-08-18,"flood",2,NA
"75","1030",2021-07-25 16:28:00,"MW","DOC_mgL","ISCO","6.0",2021-07-25,"flood",1,9.098
"76","1030",2021-07-25 16:28:00,"MW","TN_mgL","ISCO","6.0",2021-07-25,"flood",1,0.7667
"77","1031",2021-08-12 11:25:00,"CC","DOC_mgL","ISCO","11.0",2021-08-12,"flood",1,7.581
"78","1031",2021-08-12 11:25:00,"CC","TN_mgL","ISCO","11.0",2021-08-12,"flood",1,2.479
"79","1032",2021-08-12 11:25:00,"CC","DOC_mgL","ISCO","11.0",2021-08-12,"flood",1,7.545
"80","1032",2021-08-12 11:25:00,"CC","TN_mgL","ISCO","11.0",2021-08-12,"flood",1,3.105
