Sample_ID,Measurement_type,Site_abbreviation,Dilution,Event_date_time,Mean_measurement,n
57,DOC_mg/L,IS,1,2021-08-14T20:31:00Z,6.1715,2
57,NH4_mg/L,IS,1,2021-08-14T20:31:00Z,0.007065,2
57,SRP_ug/L,IS,1,2021-08-14T20:31:00Z,223,2
57,TDP_mg/L,IS,1,2021-08-14T20:31:00Z,0.105,2
57,TN_mg/L,IS,1,2021-08-14T20:31:00Z,1.0950000000000002,2
65,DOC_mg/L,IS,1,2021-08-15T07:46:00Z,6.2185,2
65,NH4_mg/L,IS,1,2021-08-15T07:46:00Z,0.0212,2
65,SRP_ug/L,IS,1,2021-08-15T07:46:00Z,170,2
65,TDP_mg/L,IS,1,2021-08-15T07:46:00Z,0.21200000000000002,2
65,TN_mg/L,IS,1,2021-08-15T07:46:00Z,1.444,1
65,TN_mg/L,IS,2.99,2021-08-15T07:46:00Z,12.18126,1
66,DOC_mg/L,IS,1,2021-08-19T08:45:00Z,6.531,1
66,NH4_mg/L,IS,1,2021-08-19T08:45:00Z,0.02345,2
66,SRP_ug/L,IS,1,2021-08-19T08:45:00Z,174.5,2
66,TC_mg/L,IS,1,2021-08-19T08:45:00Z,43.18,2
66,TDP_mg/L,IS,1,2021-08-19T08:45:00Z,0.146,1
66,TN_mg/L,IS,1,2021-08-19T08:45:00Z,2.368,1
68,DOC_mg/L,MW,1,2021-08-19T12:44:00Z,7.0649999999999995,2
68,NH4_mg/L,MW,1,2021-08-19T12:44:00Z,0.07905,2
68,SRP_ug/L,MW,1,2021-08-19T12:44:00Z,202,2
68,TC_mg/L,MW,1,2021-08-19T12:44:00Z,35.855000000000004,2
68,TDP_mg/L,MW,1,2021-08-19T12:44:00Z,0.14200000000000002,2
68,TN_mg/L,MW,1,2021-08-19T12:44:00Z,1.111,2
69,DOC_mg/L,RC,1,2021-08-18T15:06:00Z,6.1579999999999995,2
69,NH4_mg/L,RC,1,2021-08-18T15:06:00Z,0.0678,2
69,SRP_ug/L,RC,1,2021-08-18T15:06:00Z,315.5,2
69,TC_mg/L,RC,1,2021-08-18T15:06:00Z,23.005,2
69,TDP_mg/L,RC,1,2021-08-18T15:06:00Z,0.20500000000000002,2
69,TN_mg/L,RC,1,2021-08-18T15:06:00Z,1.126,2
77,DOC_mg/L,RC,1,2021-08-18T17:06:00Z,5.810499999999999,2
77,NH4_mg/L,RC,1,2021-08-18T17:06:00Z,0.03585,2
77,SRP_ug/L,RC,1,2021-08-18T17:06:00Z,344.5,2
77,TC_mg/L,RC,1,2021-08-18T17:06:00Z,21.725,2
77,TDP_mg/L,RC,1,2021-08-18T17:06:00Z,0.149,2
77,TN_mg/L,RC,1,2021-08-18T17:06:00Z,3.025,2
86,DOC_mg/L,RC,1,2021-08-19T00:21:00Z,6.177,2
86,NH4_mg/L,RC,1,2021-08-19T00:21:00Z,0.0267,2
86,SRP_ug/L,RC,1,2021-08-19T00:21:00Z,311.5,2
86,TC_mg/L,RC,1,2021-08-19T00:21:00Z,29.635,2
86,TDP_mg/L,RC,1,2021-08-19T00:21:00Z,0.254,2
86,TN_mg/L,RC,1,2021-08-19T00:21:00Z,2.359,2
87,DOC_mg/L,SS,1,2021-08-18T11:50:00Z,8.628499999999999,2
87,NH4_mg/L,SS,1,2021-08-18T11:50:00Z,0.161,2
87,SRP_ug/L,SS,1,2021-08-18T11:50:00Z,209,2
87,TDP_mg/L,SS,1,2021-08-18T11:50:00Z,0.12,2
87,TN_mg/L,SS,1,2021-08-18T11:50:00Z,0.671,2
98,DOC_mg/L,SS,1,2021-08-18T14:35:00Z,9.838,1
98,NH4_mg/L,SS,1,2021-08-18T14:35:00Z,0.143,1
98,SRP_ug/L,SS,1,2021-08-18T14:35:00Z,299,1
98,TDP_mg/L,SS,1,2021-08-18T14:35:00Z,0.382,1
98,TN_mg/L,SS,1,2021-08-18T14:35:00Z,1.6065,2
100,CL_mg/L,BMW,1,2020-08-23T13:15:00Z,29.2,1
100,DOC_mg/L,BMW,1,2020-08-23T13:15:00Z,46.4,1
100,NH4_mg/L,BMW,1,2020-08-23T13:15:00Z,0.0558,1
100,NO3_mg/L,BMW,1,2020-08-23T13:15:00Z,0.00646,1
100,SRP_ug/L,BMW,1,2020-08-23T13:15:00Z,46.5,1
100,TN_mg/L,BMW,1,2020-08-23T13:15:00Z,3.532,1
101,CL_mg/L,BMW,1,2020-08-23T13:15:00Z,30,1
101,DOC_mg/L,BMW,1,2020-08-23T13:15:00Z,76.21,1
101,NH4_mg/L,BMW,1,2020-08-23T13:15:00Z,0.071,1
101,NO3_mg/L,BMW,1,2020-08-23T13:15:00Z,0.001,1
101,SRP_ug/L,BMW,1,2020-08-23T13:15:00Z,82.9,1
101,TN_mg/L,BMW,1,2020-08-23T13:15:00Z,6.204,1
102,CL_mg/L,BMW,1,2020-08-23T13:15:00Z,29.2,1
102,DOC_mg/L,BMW,1,2020-08-23T13:15:00Z,23.03,1
102,NH4_mg/L,BMW,1,2020-08-23T13:15:00Z,0.0233,1
102,NO3_mg/L,BMW,1,2020-08-23T13:15:00Z,0.00571,1
102,SRP_ug/L,BMW,1,2020-08-23T13:15:00Z,280,1
102,TN_mg/L,BMW,1,2020-08-23T13:15:00Z,1.98,1
103,CL_mg/L,SS,1,2020-08-27T10:30:00Z,9.56,1
103,DOC_mg/L,SS,1,2020-08-27T10:30:00Z,2.455,1
103,NH4_mg/L,SS,1,2020-08-27T10:30:00Z,0.0163,1
103,NO3_mg/L,SS,1,2020-08-27T10:30:00Z,0.0215,1
103,SRP_ug/L,SS,1,2020-08-27T10:30:00Z,48.3,1
103,TN_mg/L,SS,1,2020-08-27T10:30:00Z,0.3334,1
